"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7431","Prodcuts Page","Desktop Chrome","Wed May 21 14:35:23 IST 2025","passed","Wed May 21 14:35:31 IST 2025","CloudBees Resources Page","tests/cloudbees.spec.ts","",""
"","8531","Resources Page","Desktop Chrome","Wed May 21 14:35:31 IST 2025","passed","Wed May 21 14:35:40 IST 2025","CloudBees Resources Page","tests/cloudbees.spec.ts","",""
